;Área;NOME;REGIAO_ADM;AREA_PLANE;CODBAIRRO;CODRA;CODBNUM;area;len;Selecao;exemplo_Chamados1746;exemplo_licencasdeobras
1;1705684,494;Paquetá;PAQUETA;1;13;21;13;1705684,494;24841,42612;1;1705684;25
2;4056402,746;Freguesia;ILHA DO GOVERNADOR;3;98;20;98;4056402,746;18303,59629;3;4056403;18
3;978046,5924;Bancários;ILHA DO GOVERNADOR;3;97;20;97;978046,5924;7758,78133;3;978047;8
4;18957422,15;Galeão;ILHA DO GOVERNADOR;3;104;20;104;18957422,15;21510,05842;3;18957422;22
5;1672545,719;Tauá;ILHA DO GOVERNADOR;3;101;20;101;1672545,719;8246,109606;3;1672546;8
6;1186409,475;Portuguesa;ILHA DO GOVERNADOR;3;103;20;103;1186409,475;5101,523146;3;1186409;5
7;520557,4564;Moneró;ILHA DO GOVERNADOR;3;102;20;102;520557,4564;3538,285398;3;520557;4
8;119125317,6;Campo Grande;CAMPO GRANDE;5;144;18;144;119125317,6;87189,73383;5;119125318;87
9;3385308,044;Vigário Geral;VIGARIO GERAL;3;48;31;48;3385308,044;8077,082236;3;3385308;8
10;490102,4277;Cocotá;ILHA DO GOVERNADOR;3;96;20;96;490102,4277;4799,07198;3;490102;5
11;1973968,471;Jardim América;VIGARIO GERAL;3;49;31;49;1973968,471;6129,777431;3;1973968;6
12;1621126,178;Jardim Carioca;ILHA DO GOVERNADOR;3;100;20;100;1621126,178;6150,879342;3;1621126;6
13;8311405,488;Pavuna;PAVUNA;3;114;25;114;8311405,488;18418,05687;3;8311405;18
14;3856800,996;Cordovil;VIGARIO GERAL;3;46;31;46;3856800,996;13947,70381;3;3856801;14
15;3205882,045;Jardim Guanabara;ILHA DO GOVERNADOR;3;99;20;99;3205882,045;9028,407164;3;3205882;9
16;2197968,703;Parada De Lucas;VIGARIO GERAL;3;47;31;47;2197968,703;9216,70196;3;2197969;9
17;1517134,483;Parque Colúmbia;PAVUNA;3;158;25;158;1517134,483;6179,269461;3;1517134;6
18;379405,9068;Praia Da Bandeira;ILHA DO GOVERNADOR;3;95;20;95;379405,9068;3423,222264;3;379406;3
19;4623381,859;Penha Circular;PENHA;3;44;11;44;4623381,859;16639,40048;3;4623382;17
20;38800443,61;Bangu;BANGU;5;141;17;141;38800443,61;42405,72281;5;38800444;42
21;2068686,086;Cacuia;ILHA DO GOVERNADOR;3;93;20;93;2068686,086;10232,33257;3;2068686;10
22;7477839,755;Irajá;IRAJA;3;76;14;76;7477839,755;18435,99529;3;7477840;18
23;4345726,992;Anchieta;ANCHIETA;3;107;22;107;4345726,992;11471,41915;3;4345727;11
24;1605524,317;Acari;PAVUNA;3;111;25;111;1605524,317;6408,773017;3;1605524;6
25;604129,7691;Pitangueiras;ILHA DO GOVERNADOR;3;94;20;94;604129,7691;3514,091866;3;604130;4
26;1814831,691;Costa Barros;PAVUNA;3;113;25;113;1814831,691;6638,990194;3;1814832;7
27;3522221,908;Brás De Pina;PENHA;3;45;11;45;3522221,908;12591,61024;3;3522222;13
28;5811323,262;Penha;PENHA;3;43;11;43;5811323,262;13667,77622;3;5811323;14
29;161117,7964;Zumbi;ILHA DO GOVERNADOR;3;92;20;92;161117,7964;2122,521398;3;161118;2
30;861924,8001;Ribeira;ILHA DO GOVERNADOR;3;91;20;91;861924,8001;7050,03117;3;861925;7
31;2511970,408;Coelho Neto;PAVUNA;3;110;25;110;2511970,408;7534,538813;3;2511970;8
32;3820007,695;Guadalupe;ANCHIETA;3;106;22;106;3820007,695;10384,23223;3;3820008;10
33;3905790,025;Parque Anchieta;ANCHIETA;3;108;22;108;3905790,025;13017,73528;3;3905790;13
34;1723864,302;Barros Filho;PAVUNA;3;112;25;112;1723864,302;7194,15337;3;1723864;7
35;515209,0567;Vista Alegre;IRAJA;3;75;14;75;515209,0567;3581,526115;3;515209;4
36;2116869,827;Ricardo De Albuquerque;ANCHIETA;3;109;22;109;2116869,827;9196,693268;3;2116870;9
37;2261110,267;Colégio;IRAJA;3;77;14;77;2261110,267;7739,221722;3;2261110;8
38;1374847,05;Honório Gurgel;MADUREIRA;3;87;15;87;1374847,05;6884,584158;3;1374847;7
39;3689833,183;Olaria;RAMOS;3;42;10;42;3689833,183;12230,9943;3;3689833;12
40;1435715,754;Vila Da Penha;IRAJA;3;74;14;74;1435715,754;6100,162662;3;1435716;6
41;4268761,309;Maré;COMPLEXO DA MARE;3;157;30;157;4268761,309;13082,62218;3;4268761;13
42;10756709,37;Vila Militar;REALENGO;5;135;33;135;10756709,37;18076,99894;5;10756709;18
43;4690706,494;Cidade Universitária;ILHA DO GOVERNADOR;3;105;20;105;4690706,494;22376,22118;3;4690706;22
44;2886705,519;Rocha Miranda;MADUREIRA;3;86;15;86;2886705,519;9166,72307;3;2886706;9
45;2793532,974;Ramos;RAMOS;3;41;10;41;2793532,974;8911,69264;3;2793533;9
46;26054198,01;Realengo;REALENGO;5;139;33;139;26054198,01;30896,82533;5;26054198;31
47;1519254,092;Vila Kosmos;IRAJA;3;72;14;72;1519254,092;6511,858316;3;1519254;7
48;3886225,622;Marechal Hermes;MADUREIRA;3;90;15;90;3886225,622;11946,96884;3;3886226;12
49;1835710,628;Vicente De Carvalho;IRAJA;3;73;14;73;1835710,628;6753,007673;3;1835711;7
50;27417970,86;Paciência;SANTA CRUZ;5;148;19;148;27417970,86;34307,56618;5;27417971;34
51;2225644,939;Engenho Da Rainha;INHAUMA;3;55;12;55;2225644,939;9188,8103;3;2225645;9
52;2960855,148;Complexo do Alemão;COMPLEXO DO ALEMÃO;3;156;29;156;2960855,148;11998,43706;3;2960855;12
53;1101220,918;Vaz Lobo;MADUREIRA;3;84;15;84;1101220,918;5030,566905;3;1101221;5
54;4865791,864;Padre Miguel;BANGU;5;140;17;140;4865791,864;16274,18884;5;4865792;16
55;3037846,613;Bento Ribeiro;MADUREIRA;3;89;15;89;3037846,613;8506,036051;3;3037847;9
56;1255809,631;Turiaçú;MADUREIRA;3;85;15;85;1255809,631;5378,192933;3;1255810;5
57;2199716,211;Bonsucesso;RAMOS;3;40;10;40;2199716,211;8558,994568;3;2199716;9
58;3485274,328;Inhaúma;INHAUMA;3;54;12;54;3485274,328;13164,79605;3;3485274;13
59;1747526,489;Tomás Coelho;INHAUMA;3;56;12;56;1747526,489;8403,838118;3;1747526;8
60;8319614,019;Santíssimo;CAMPO GRANDE;5;143;18;143;8319614,019;15804,01968;5;8319614;16
61;3787613,377;Madureira;MADUREIRA;3;83;15;83;3787613,377;9574,362202;3;3787613;10
62;2071126,765;Osvaldo Cruz;MADUREIRA;3;88;15;88;2071126,765;6942,739477;3;2071127;7
63;125044295,4;Santa Cruz;SANTA CRUZ;5;149;19;149;125044295,4;65717,39085;5;125044295;66
64;1975949,353;Magalhães Bastos;REALENGO;5;138;33;138;1975949,353;6902,654736;5;1975949;7
65;17235932,12;Senador Camará;BANGU;5;142;17;142;17235932,12;23562,46211;5;17235932;24
66;1924149,293;Cavalcanti;MADUREIRA;3;80;15;80;1924149,293;6248,036863;3;1924149;6
67;3252292,96;Campo Dos Afonsos;REALENGO;5;136;33;136;3252292,96;8075,651283;5;3252293;8
68;1157472,797;Higienópolis;INHAUMA;3;50;12;50;1157472,797;4944,384797;3;1157473;5
69;2618351,241;Manguinhos;RAMOS;3;39;10;39;2618351,241;8090,398682;3;2618351;8
70;708274,3145;Engenheiro Leal;MADUREIRA;3;81;15;81;708274,3145;3785,026426;3;708274;4
71;1836420,05;Pilares;MEIER;3;71;13;71;1836420,05;6828,72903;3;1836420;7
72;1440914,479;Del Castilho;INHAUMA;3;53;12;53;1440914,479;5294,820961;3;1440914;5
73;3887100,315;Piedade;MEIER;3;69;13;69;3887100,315;12326,53232;3;3887100;12
74;2838970,713;Cascadura;MADUREIRA;3;82;15;82;2838970,713;9056,403868;3;2838971;9
75;4232214,713;Vila Valqueire;JACAREPAGUA;4;125;16;125;4232214,713;9441,556762;4;4232215;9
76;824989,7271;Maria Da Graça;INHAUMA;3;52;12;52;824989,7271;4842,429564;3;824990;5
77;4323794,649;Quintino Bocaiúva;MADUREIRA;3;79;15;79;4323794,649;11247,72046;3;4323795;11
78;7869204,244;Jardim Sulacap;REALENGO;5;137;33;137;7869204,244;14519,30847;5;7869204;15
79;984510,4563;Campinho;MADUREIRA;3;78;15;78;984510,4563;4818,482797;3;984510;5
80;616332,6576;Abolição;MEIER;3;70;13;70;616332,6576;4930,769649;3;616333;5
81;6441768,965;Senador Vasconcelos;CAMPO GRANDE;5;145;18;145;6441768,965;12846,80762;5;6441769;13
82;11261318,83;Cosmos;CAMPO GRANDE;5;147;18;147;11261318,83;17686,72582;5;11261319;18
83;943874,1221;Jacarezinho;JACAREZINHO;3;155;28;155;943874,1221;6319,106275;3;943874;6
84;2250159,731;Cachambi;MEIER;3;65;13;65;2250159,731;8081,745543;3;2250160;8
85;6499977,471;Praça Seca;JACAREPAGUA;4;124;16;124;6499977,471;11438,67283;4;6499977;11
86;1736412,782;Benfica;SAO CRISTOVAO;1;12;7;12;1736412,782;9097,978313;1;1736413;9
87;3920440,589;Engenho De Dentro;MEIER;3;66;13;66;3920440,589;11905,97208;3;3920441;12
88;4105643,918;São Cristóvão;SAO CRISTOVAO;1;10;7;10;4105643,918;14129,06543;1;4105644;14
89;863074,5419;Vasco Da Gama;SAO CRISTOVAO;1;159;7;159;863074,5419;4349,97715;1;863075;4
90;8287883,1;Inhoaíba;CAMPO GRANDE;5;146;18;146;8287883,1;15356,86409;5;8287883;15
91;1012635,956;Todos Os Santos;MEIER;3;64;13;64;1012635,956;6163,380267;3;1012636;6
92;842565,6392;Jacaré;MEIER;3;51;13;51;842565,6392;6809,021407;3;842566;7
93;1060146,175;Encantado;MEIER;3;68;13;68;1060146,175;5995,546901;3;1060146;6
94;1311625,551;Rocha;MEIER;3;58;13;58;1311625,551;5717,934198;3;1311626;6
95;2470933,14;Méier;MEIER;3;63;13;63;2470933,14;9836,638145;3;2470933;10
96;1112902,753;Gamboa;PORTUARIA;1;2;1;2;1112902,753;4612,82733;1;1112903;5
97;1684720,593;Santo Cristo;PORTUARIA;1;3;1;3;1684720,593;6743,218559;1;1684721;7
98;5723064,978;Centro;CENTRO;1;5;2;5;5723064,978;22240,43961;1;5723065;22
99;884408,4936;Sampaio;MEIER;3;60;13;60;884408,4936;5793,714267;3;884408;6
100;928108,4836;Riachuelo;MEIER;3;59;13;59;928108,4836;5342,529697;3;928108;5
101;363817,6198;Saúde;PORTUARIA;1;1;1;1;363817,6198;2646,217125;1;363818;3
102;648907,6067;São Francisco Xavier;MEIER;3;57;13;57;648907,6067;5462,167108;3;648908;5
103;2644847,102;Engenho Novo;MEIER;3;61;13;61;2644847,102;10595,67522;3;2644847;11
104;798128,9286;Mangueira;SAO CRISTOVAO;1;11;7;11;798128,9286;4489,003678;1;798129;4
105;5567990,1;Tanque;JACAREPAGUA;4;123;16;123;5567990,1;15382,44099;4;5567990;15
106;13206630,16;Taquara;JACAREPAGUA;4;122;16;122;13206630,16;22254,66026;4;13206630;22
107;2426231,845;Água Santa;MEIER;3;67;13;67;2426231,845;6751,460783;3;2426232;7
108;2669197,579;Lins De Vasconcelos;MEIER;3;62;13;62;2669197,579;9532,636494;3;2669198;10
109;10395647,66;Freguesia Jacarepaguá;JACAREPAGUA;4;120;16;120;10395647,66;18369,38402;4;10395648;18
110;934852,8818;Cidade Nova;RIO COMPRIDO;1;8;3;8;934852,8818;4790,109953;1;934853;5
111;719909,7112;Praça Da Bandeira;TIJUCA;2;32;8;32;719909,7112;4727,306121;2;719910;5
112;3217125,961;Vila Isabel;VILA ISABEL;2;36;9;36;3217125,961;9014,565366;2;3217126;9
113;1667302,223;Maracanã;VILA ISABEL;2;35;9;35;1667302,223;8473,315106;2;1667302;8
114;1140065,532;Glória;BOTAFOGO;2;16;4;16;1140065,532;7225,239092;2;1140066;7
115;3342510,613;Rio Comprido;RIO COMPRIDO;1;7;3;7;3342510,613;12681,06164;1;3342511;13
116;5157128,611;Santa Teresa;SANTA TEREZA;1;14;23;14;5157128,611;27344,80341;1;5157129;27
117;980400,6516;Estácio;RIO COMPRIDO;1;9;3;9;980400,6516;5269,425953;1;980401;5
118;10065558,54;Tijuca;TIJUCA;2;33;8;33;10065558,54;20628,826;2;10065559;21
119;539458,4426;Catumbi;RIO COMPRIDO;1;6;3;6;539458,4426;5123,705757;1;539458;5
120;5739104,551;Grajaú;VILA ISABEL;2;38;9;38;5739104,551;12833,71377;2;5739105;13
121;2830915,63;Pechincha;JACAREPAGUA;4;121;16;121;2830915,63;7817,207596;4;2830916;8
122;2261300,448;Andaraí;VILA ISABEL;2;37;9;37;2261300,448;9938,099001;2;2261300;10
123;681026,757;Catete;BOTAFOGO;2;18;4;18;681026,757;4260,1421;2;681027;4
124;1646253,606;Flamengo;BOTAFOGO;2;15;4;15;1646253,606;6665,340397;2;1646254;7
125;2493507,317;Laranjeiras;BOTAFOGO;2;17;4;17;2493507,317;10537,11408;2;2493507;11
126;139501208,9;Guaratiba;GUARATIBA;5;151;26;151;139501208,9;74738,75958;5;139501209;75
127;39380382,47;Vargem Grande;BARRA DA TIJUCA;4;131;24;131;39380382,47;33697,27595;4;39380382;34
128;31495675,99;Alto Da Boa Vista;TIJUCA;2;34;8;34;31495675,99;43744,41178;2;31495676;44
129;892540,0681;Cosme Velho;BOTAFOGO;2;19;4;19;892540,0681;7889,671096;2;892540;8
130;3339565,627;Curicica;JACAREPAGUA;4;119;16;119;3339565,627;9985,679004;4;3339566;10
131;4798955,784;Botafogo;BOTAFOGO;2;20;4;20;4798955,784;12136,37515;2;4798956;12
132;2319001,833;Urca;BOTAFOGO;2;22;4;22;2319001,833;14138,50401;2;2319002;14
133;1205777,489;Cidade De Deus;CIDADE DE DEUS;4;118;34;118;1205777,489;7572,497319;4;1205777;8
134;11621300,03;Sepetiba;SANTA CRUZ;5;150;19;150;11621300,03;21108,82054;5;11621300;21
135;3500410,652;Anil;JACAREPAGUA;4;116;16;116;3500410,652;10834,5919;4;3500411;11
136;75796482,35;Jacarepaguá;JACAREPAGUA;4;115;16;115;75796482,35;73409,70635;4;75796482;73
137;8859905,724;Camorim;BARRA DA TIJUCA;4;129;24;129;8859905,724;17128,16197;4;8859906;17
138;1054475,33;Humaitá;BOTAFOGO;2;21;4;21;1054475,33;7100,846817;2;1054475;7
139;1236297,346;Gardênia Azul;JACAREPAGUA;4;117;16;117;1236297,346;4618,118455;4;1236297;5
140;2689203,722;Jardim Botânico;LAGOA;2;28;6;28;2689203,722;12263,11575;2;2689204;12
141;14438294,66;Vargem Pequena;BARRA DA TIJUCA;4;130;24;130;14438294,66;20648,92568;4;14438295;21
142;4100850,145;Copacabana;COPACABANA;2;24;5;24;4100850,145;12803,49902;2;4100850;13
143;977199,0375;Leme;COPACABANA;2;23;5;23;977199,0375;7045,321826;2;977199;7
144;5109893,294;Lagoa;LAGOA;2;27;6;27;5109893,294;10368,03975;2;5109893;10
145;13197726,22;Itanhangá;BARRA DA TIJUCA;4;127;24;127;13197726,22;20400,64463;4;13197726;20
146;2579636,596;Gávea;LAGOA;2;29;6;29;2579636,596;14268,5057;2;2579637;14
147;48150629,84;Barra Da Tijuca;BARRA DA TIJUCA;4;128;24;128;48150629,84;47771,79581;4;48150630;48
148;2153095,965;Leblon;LAGOA;2;26;6;26;2153095,965;7188,663025;2;2153096;7
149;3084907,174;Ipanema;LAGOA;2;25;6;25;3084907,174;23487,52687;2;3084907;23
150;6488565,82;São Conrado;LAGOA;2;31;6;31;6488565,82;13311,8929;2;6488566;13
151;1437194,747;Rocinha;ROCINHA;2;154;27;154;1437194,747;6120,745674;2;1437195;6
152;3636912,26;Pedra De Guaratiba;GUARATIBA;5;153;26;153;3636912,26;8804,324563;5;3636912;9
153;30655624,16;Recreio Dos Bandeirantes;BARRA DA TIJUCA;4;132;24;132;30655624,16;38561,26019;4;30655624;39
154;1621377,872;Vidigal;LAGOA;2;30;6;30;1621377,872;7553,344757;2;1621378;8
155;1689691,343;Joá;BARRA DA TIJUCA;4;126;24;126;1689691,343;8871,294314;4;1689691;9
156;9442030,502;Barra De Guaratiba;GUARATIBA;5;152;26;152;9442030,502;27508,18786;5;9442031;28
157;9598826,238;Grumari;BARRA DA TIJUCA;4;133;24;133;9598826,238;23375,34341;4;9598826;23
158;5347480,582;Caju;PORTUARIA;1;4;1;4;5347480,582;19800,49681;1;5347481;20
159;4640511,096;Deodoro;REALENGO;5;134;33;134;4640511,096;12077,64755;5;4640511;12
160;6906465,481;Gericinó;BANGU;5;160;17;160;6906465,481;13215,98985;5;6906465;13
