id;nome;sigla;regiao_id;IBGE;DEPELEITO;POP2010;Renda;NUMHOM;TXHOM100K;numeleitores
1;Acre;AC;3;12;24;733559;99725;149;20;467840
2;Alagoas;AL;4;27;27;3120494;390920;1868;60;2033518
3;Amazonas;AM;3;13;24;3483985;484059;916;26;2028239
4;Amapa;AP;3;16;24;669526;99706;191;29;415160
5;Bahia;BA;4;29;63;14016906;2075492;5345;38;9539934
6;Ceara;CE;4;23;46;8452381;1148185;2166;26;5878192
7;Distrito Federal;DF;5;53;24;2570160;1219372;1003;39;1834135
8;Espirito Santo;ES;2;32;30;3514952;886151;1969;56;2522072
9;Goias;GO;5;52;41;6003788;1419582;1784;30;4059028
10;Maranhão;MA;4;21;42;6574789;617626;1391;21;4320605
11;Minas Gerais;MG;2;31;77;19597330;4893122;3630;19;14514385
12;Mato Grosso do Sul;MS;5;50;24;2449024;592389;727;30;1695448
13;Mato Grosso;MT;5;51;24;3035122;716861;992;33;2094105
14;Para;PA;3;15;41;7581051;1035995;2993;39;4748660
15;Paraiba;PB;4;25;36;3766528;511681;1265;34;2738389
16;Pernambuco;PE;4;26;49;8796448;1438617;3931;45;6244791
17;Piaui;PI;4;22;30;3110292;362804;389;13;2253132
18;Parana;PR;1;41;54;10444526;3033249;3679;35;7595692
19;Rio de Janeiro;RJ;2;33;70;15989929;5875048;4198;26;11560238
20;Rio Grande do Norte;RN;4;24;24;3168027;484066;789;25;2237815
21;Rondônia;RO;3;11;24;1562409;319136;535;34;1063939
22;Roraima;RR;3;14;24;450479;76071;115;26;271603
23;Rio Grande do Sul;RS;1;43;55;10693929;3604280;2228;21;8107785
24;Santa Catarina;SC;1;42;40;6248436;1851041;801;13;4536829
25;Sergipe;SE;4;28;24;2068017;288082;663;32;1425359
26;São Paulo;SP;2;35;94;41262199;16149374;6319;15;30220861
27;Tocantins;TO;3;17;24;1383445;198839;282;20;947928
